OBDIICodes,WhatDoesItMean?,Symptoms,Causes,RepairProcedures,TroubleCodeTechnicalDescription
P0000,Este ,No ,Las posibles causas para que este,Si solo experimenta este,ISO / SAE reservado
P0001,"Este código de diagnóstico de problemas (DTC) es un código genérico del tren motriz, lo que significa que se aplica a vehículos equipados con OBD-II, incluidos, entre otros, Ford, Dodge, Vauxhall, VW, Mazda, etc. Aunque genéricos, los pasos de reparación específicos pueden varían según la marca / modelo. Un P0001 no es un código de problema muy común y se lo ve con mayor frecuencia en los vehículos equipados con diesel common rail (CRD) y / o diesel, e inyección directa de gasolina (GDI). Este código se relaciona con el sistema eléctrico como parte del sistema regulador de volumen de combustible. Los sistemas de combustible automotriz constan de muchos componentes, el tanque de combustible, la bomba de combustible, el filtro, las líneas, los inyectores, etc. Un componente de los sistemas de combustible de alta presión es una bomba de combustible de alta presión. Su función es aumentar la presión de combustible para la presión muy alta que se necesita en el riel de combustible para los inyectores. Estas bombas de combustible de alta presión tienen un lado de baja presión y un lado de alta presión, y un regulador de volumen de combustible que controla la presión. Para este código P0001, se refiere a una lectura eléctrica que está ""abierta"".","Los síntomas de un DTC P0001 pueden incluir: Iluminación de la lámpara indicadora de mal funcionamiento (MIL), El vehículo no enciende el ""Modo Limp"" habilitado y / o la falta de energía","Las posibles causas de este código del motor pueden incluir: Fallo en el regulador del volumen de combustible (FVR), Problema eléctrico en el cableado / arnés FVR (cortocircuito del cableado, corrosión, etc.) ","Primero, verifique los boletines de servicio técnico (TSB) conocidos para su año / marca / modelo. Si hay una TSB conocida que resuelve este problema, puede ahorrarle tiempo y dinero durante el diagnóstico. A continuación, deseará inspeccionar visualmente el cableado y los conectores pertenecientes al circuito regulador del volumen de combustible y al sistema. Busque roturas obvias en los cables, corrosión, etc. Repare según sea necesario. El regulador de volumen de combustible (FVR) es un dispositivo de dos hilos cuyos cables regresan al PCM. No debe aplicar tensión de batería directa a los cables o podría dañar el sistema. Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas para su año / marca / modelo / motor.",Circuito de control del regulador de volumen de combustible / abierto
P0002,"Este código de diagnóstico de problemas (DTC) es un código genérico del tren motriz, lo que significa que se aplica a vehículos equipados con OBD-II, incluidos, entre otros, Ford, Dodge, Vauxhall, VW, Mazda, etc. Aunque genéricos, los pasos de reparación específicos pueden varían según la marca / modelo. Un P0002 no es un código de problema muy común y se lo ve con mayor frecuencia en los vehículos equipados con un motor common rail (CRD) y / o un motor diésel e inyección directa de gasolina (GDI). Este código se relaciona con el sistema eléctrico como parte del sistema regulador de volumen de combustible. Los sistemas de combustible automotriz constan de muchos componentes, el tanque de combustible, la bomba de combustible, el filtro, las líneas, los inyectores, etc. Un componente de los sistemas de combustible de alta presión es una bomba de combustible de alta presión. Su función es aumentar la presión de combustible para la presión muy alta que se necesita en el riel de combustible para los inyectores. Estas bombas de combustible de alta presión tienen un lado de baja presión y un lado de alta presión, y un regulador de volumen de combustible que controla la presión. Para este código P0002, se refiere a una lectura eléctrica que está fuera de los parámetros normales.","Los síntomas de un DTC P0002 pueden incluir: Iluminación de la lámpara indicadora de mal funcionamiento (MIL) El vehículo no arranca el ""Modo Limp"" habilitado y / o la falta de energía","Las posibles causas de este código del motor pueden incluir: Fallo en el regulador del volumen de combustible (FVR), Problema eléctrico en el cableado / arnés FVR (cortocircuito del cableado, corrosión, etc.)","Primero, verifique los boletines de servicio técnico (TSB) conocidos para su año / marca / modelo. Si hay una TSB conocida que resuelve este problema, puede ahorrarle tiempo y dinero durante el diagnóstico. A continuación, deseará inspeccionar visualmente el cableado y los conectores pertenecientes al circuito regulador del volumen de combustible y al sistema. Busque roturas obvias en los cables, corrosión, etc. Repare según sea necesario. El regulador de volumen de combustible (FVR) es un dispositivo de dos hilos cuyos cables regresan al PCM. No debe aplicar tensión de batería directa a los cables o podría dañar el sistema. Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas para su año / marca / modelo / motor.",Rango / rendimiento del circuito de control del regulador de volumen de combustible
P0003,"Este código de diagnóstico de problemas (DTC) es un código genérico del tren motriz, lo que significa que se aplica a vehículos equipados con OBD-II, incluidos, entre otros, Ford, Dodge, Vauxhall, VW, Mazda, etc. Aunque genéricos, los pasos de reparación específicos pueden varían según la marca / modelo. Un P0003 no es un código de problema muy común y se lo ve con más frecuencia en los vehículos equipados con un motor common rail (CRD) y / o un motor diésel e inyección directa de gasolina (GDI). Este código se relaciona con el sistema eléctrico como parte del sistema regulador de volumen de combustible. Los sistemas de combustible automotriz constan de muchos componentes, el tanque de combustible, la bomba de combustible, el filtro, las líneas, los inyectores, etc. Un componente de los sistemas de combustible de alta presión es una bomba de combustible de alta presión. Su función es aumentar la presión de combustible para la presión muy alta que se necesita en el riel de combustible para los inyectores. Estas bombas de combustible de alta presión tienen un lado de baja presión y un lado de alta presión, y un regulador de volumen de combustible que controla la presión. Para este código P0003, se refiere a una lectura eléctrica que es inferior a la esperada (por debajo del rango normal).","Los síntomas de un DTC P0003 pueden incluir: Iluminación de la lámpara indicadora de mal funcionamiento (MIL) El vehículo no arranca el ""Modo Limp"" habilitado y / o la falta de energía","Las posibles causas de este código del motor pueden incluir: Fallo en el regulador del volumen de combustible (FVR), Problema eléctrico en el cableado / arnés FVR (cortocircuito del cableado, corrosión, etc.)","Primero, verifique los boletines de servicio técnico (TSB) conocidos para su año / marca / modelo. Si hay una TSB conocida que resuelve este problema, puede ahorrarle tiempo y dinero durante el diagnóstico. A continuación, deseará inspeccionar visualmente el cableado y los conectores pertenecientes al circuito regulador del volumen de combustible y al sistema. Busque roturas obvias en los cables, corrosión, etc. Repare según sea necesario. El regulador de volumen de combustible (FVR) es un dispositivo de dos hilos cuyos cables regresan al PCM. No debe aplicar tensión de batería directa a los cables o podría dañar el sistema. Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas para su año / marca / modelo / motor.",Circuito de control del regulador de volumen de combustible bajo
P0004,"Este código de diagnóstico de problemas (DTC) es un código genérico del tren motriz, lo que significa que se aplica a vehículos equipados con OBD-II, incluidos, entre otros, Ford, Dodge, Vauxhall, VW, Mazda, etc. Aunque genéricos, los pasos de reparación específicos pueden varían según la marca / modelo. Un P0004 no es un código de problema muy común y se lo ve con mayor frecuencia en los vehículos equipados con un motor common rail (CRD) y / o diesel, y con un vehículo de inyección directa de gasolina (GDI). Este código se relaciona con el sistema eléctrico como parte del sistema regulador de volumen de combustible. Los sistemas de combustible automotriz constan de muchos componentes, el tanque de combustible, la bomba de combustible, el filtro, las líneas, los inyectores, etc. Un componente de los sistemas de combustible de alta presión es una bomba de combustible de alta presión. Su función es aumentar la presión de combustible para la presión muy alta que se necesita en el riel de combustible para los inyectores. Estas bombas de combustible de alta presión tienen un lado de baja presión y un lado de alta presión, y un regulador de volumen de combustible que controla la presión. Para este código P0004, se refiere a una lectura eléctrica que está por encima de los parámetros esperados.","Los síntomas de un DTC P0004 pueden incluir: Iluminación de la lámpara indicadora de mal funcionamiento (MIL) El vehículo no arrancará el ""Modo Limp"" habilitado y / o la falta de energía.","Las posibles causas de este código del motor pueden incluir: Fallo en el regulador del volumen de combustible, (FVR) Problema eléctrico en el cableado / arnés FVR (cortocircuito del cableado, corrosión, etc.)","Primero, verifique los boletines de servicio técnico (TSB) conocidos para su año / marca / modelo. Si hay una TSB conocida que resuelve este problema, puede ahorrarle tiempo y dinero durante el diagnóstico. A continuación, deseará inspeccionar visualmente el cableado y los conectores pertenecientes al circuito regulador del volumen de combustible y al sistema. Busque roturas obvias en los cables, corrosión, etc. Repare según sea necesario. El regulador de volumen de combustible (FVR) es un dispositivo de dos hilos cuyos cables regresan al PCM. No debe aplicar tensión de batería directa a los cables o podría dañar el sistema. Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas para su año / marca / modelo / motor.",Circuito de control del regulador de volumen de combustible alto
P0005,"El código P0005 DTC es genérico, lo que significa que se aplica a todas las marcas de vehículos. Es un DTC muy raramente visto.","Los síntomas de un DTC P0005 incluirán iluminación MIL (luz indicadora de funcionamiento incorrecto), aunque puede haber otros síntomas.","Bueno, hay poca o ninguna buena información sobre este código. La ""Válvula de cierre de combustible"" A ""Circuito de control / abierto"" indica que puede tratarse de un circuito abierto en el sistema eléctrico perteneciente al control de la válvula de cierre de combustible.",Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas.,"Válvula de cierre de combustible ""A"" Circuito de control / abierto"
P0006,"El código P0006 DTC es genérico, lo que significa que se aplica a todas las marcas de vehículos. Es un DTC muy raramente visto.","Los síntomas de un DTC P0006 incluirán iluminación MIL (luz indicadora de funcionamiento incorrecto), aunque puede haber otros síntomas.","Bueno, hay poca o ninguna buena información sobre este código. La ""Válvula de cierre de combustible"" A ""Control de circuito bajo"" indica que el problema puede estar en el circuito eléctrico en el control de la válvula de cierre de combustible.",Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas.,"Válvula de cierre de combustible ""A"" Circuito de control bajo"
P0007,"El código P0007 DTC es genérico, por lo que significa que se aplica a todas las marcas de vehículos. Es un DTC muy raramente visto.","Los síntomas de un DTC P0007 incluirán iluminación MIL (luz indicadora de funcionamiento incorrecto), aunque puede haber otros síntomas.","Bueno, hay poca o ninguna buena información sobre este código. La ""Válvula de cierre de combustible"" A ""Alto control de circuito"" indica que el problema puede estar en el circuito eléctrico en el control de la válvula de cierre de combustible.",Consulte el manual de servicio de fábrica para conocer los pasos más específicos de solución de problemas.,"Válvula de cierre de combustible ""A"" Circuito de control alto"
P0008,"Este código de diagnóstico de problemas (DTC) es un código genérico del tren motriz, lo que significa que se aplica a vehículos equipados con OBD-II, incluidos, entre otros, Cadillac, GMC, Chevrolet, etc. Aunque genéricos, los pasos de reparación específicos pueden variar según la marca /modelo. Esta fuente tiene una buena descripción de este código P0008: ""El Módulo de control del motor (ECM) prueba la desalineación entre ambos árboles de levas en un banco del motor y el cigüeñal. La desalineación sería en un piñón loco para cualquier banco o en el cigüeñal Una vez que el ECM aprende la posición de ambos árboles de levas en un banco del motor, el ECM compara los valores aprendidos con un valor de referencia. El ECM establecerá un DTC si ambos valores aprendidos para un banco del motor exceden un umbral calibrado en la misma dirección "". El código es más común en las siguientes marcas: Suzuki, GM, Cadillac, Buick, Holden. De hecho, hay boletines de servicio para ciertos vehículos GM y la solución es reemplazar las cadenas de distribución (incluyendo motores como 3.6 LY7, 3.6 LLT o 2.8 LP1). También puede ver este DTC en un vehículo que también tiene otros DTC relacionados, como P0009, P0016, P0017, P0018 y P0019. El banco 1 se refiere al lado del motor que contiene el cilindro n. ° 1.","Los síntomas de un DTC P0008 pueden incluir: MIL (luz indicadora de mal funcionamiento) iluminación Rugosidad al acelerar Poca economía de combustible Disminución de la potencia Cadena de sincronización ""ruido""",Las causas potenciales de un código P0008 pueden incluir: Cadena de distribución estirada La rueda reluctora del cigüeñal se ha movido y ya no está referenciada al punto muerto superior (TDC) Problema del tensor de la cadena de distribución,"Si su vehículo es lo suficientemente nuevo como para que aún le quede garantía del tren motriz, de todos modos permita que el distribuidor realice la reparación. En general, el diagnóstico y la reparación de este DTC implicará inspeccionar las cadenas de distribución y los tensores por desgaste excesivo o desalineación, e inspeccionar la rueda reluctora del cigüeñal para una colocación correcta. Luego reemplazando las piezas según sea necesario. Como se dijo anteriormente, existen problemas conocidos con algunos motores de GM, por lo que es posible que haya piezas de repuesto actualizadas o revisadas. Consulte el manual de servicio de fábrica para obtener más pasos específicos de solución de problemas de la marca y el modelo del vehículo.",Posiciones del motor Banco de rendimiento del sistema 1
P0009,"Este código de diagnóstico de problemas (DTC) es un código genérico del tren motriz, lo que significa que se aplica a vehículos equipados con OBD-II, que incluyen pero no se limitan a Cadillac, GMC, etc. Aunque genéricos, los pasos de reparación específicos pueden variar según la marca / modelo . Esta fuente tiene una buena descripción de este código P0009: El módulo de control del motor (ECM) prueba la desalineación entre ambos árboles de levas en un banco del motor y el cigüeñal. La desalineación sería en un piñón loco para cualquier banco o en el cigüeñal. Una vez que el ECM aprende la posición de ambos árboles de levas en un banco del motor, el ECM compara los valores aprendidos con un valor de referencia. El ECM establecerá un DTC si ambos valores aprendidos para un banco del motor están excediendo un umbral calibrado en la misma dirección. El código es más común en las siguientes marcas: Suzuki, GM, Cadillac, Buick, Holden. De hecho, hay boletines de servicio para ciertos vehículos GM y la solución es reemplazar las cadenas de distribución (incluyendo motores como 3.6 LY7, 3.6 LLT o 2.8 LP1). También puede ver este DTC en un vehículo que también tiene otros DTC relacionados como P0008, P0016, P0017, P0018 y P0019. El banco 2 se refiere al lado del motor que no contiene el cilindro n. ° 1. Lo más probable es que no vea solo este código, sino que también tendrá un código P0008 establecido al mismo tiempo.","Los síntomas de un DTC P0009 pueden incluir: MIL (luz indicadora de mal funcionamiento) iluminación Rugosidad al acelerar Poca economía de combustible Disminución de la potencia Cadena de sincronización ""ruido""",Las causas potenciales de un código P0009 pueden incluir: Cadena de distribución estirada La rueda reluctora del cigüeñal se ha movido y ya no está referenciada al punto muerto superior (TDC) Problema del tensor de la cadena de distribución,"Si su vehículo es lo suficientemente nuevo como para que aún le quede garantía del tren motriz, de todos modos permita que el distribuidor realice la reparación. En general, el diagnóstico y la reparación de este DTC implicará inspeccionar las cadenas de distribución y los tensores por desgaste excesivo o desalineación, e inspeccionar la rueda reluctora del cigüeñal para una colocación correcta. Luego reemplazando las piezas según sea necesario. Como se dijo anteriormente, existen problemas conocidos con algunos motores de GM, por lo que es posible que haya piezas de repuesto actualizadas o revisadas. Consulte el manual de servicio de fábrica para obtener más pasos específicos de solución de problemas de la marca y el modelo del vehículo.",Posiciones del motor System Performance Bank 2
